layer_id,module_name,cout_channel,bias_int,bias_bits_needed,shift,sx,sw,sy,real_multiplier,pow2_multiplier,relative_error,relu_en,rounding_en
5,conv3.0.0,48,-456,10,10,0.10343006253242493,0.0010320065775886178,0.14825761318206787,0.0007199664325013908,0.0009765625,0.35640004299521777,True,True
5,conv3.0.0,49,325,10,10,0.10343006253242493,0.0012652389705181122,0.14825761318206787,0.0008826780833065345,0.0009765625,0.10636314469457772,True,True
5,conv3.0.0,50,-105,8,9,0.10343006253242493,0.0021889712661504745,0.14825761318206787,0.001527108322333421,0.001953125,0.27896952130784397,True,True
5,conv3.0.0,51,4714,14,10,0.10343006253242493,0.0011346652172505856,0.14825761318206787,0.000791584943631012,0.0009765625,0.23367998325043068,True,True
5,conv3.0.0,52,33,7,10,0.10343006253242493,0.0018057944253087044,0.14825761318206787,0.001259789809923733,0.0009765625,0.22482108340031692,True,True
5,conv3.0.0,53,-960,11,10,0.10343006253242493,0.00101772032212466,0.14825761318206787,0.0007099998057341249,0.0009765625,0.3754405171847263,True,True
5,conv3.0.0,54,3749,13,10,0.10343006253242493,0.0012971750693395734,0.14825761318206787,0.0009049579017067471,0.0009765625,0.07912478376972774,True,True
5,conv3.0.0,55,218,9,9,0.10343006253242493,0.0023671388626098633,0.14825761318206787,0.001651404709193609,0.001953125,0.1827052382294119,True,True
5,conv3.0.0,56,643,11,10,0.10343006253242493,0.0010524694807827473,0.14825761318206787,0.000734242120012727,0.0009765625,0.3300278932282892,True,True
5,conv3.0.0,57,-262,10,10,0.10343006253242493,0.001372156199067831,0.14825761318206787,0.0009572675455091308,0.0009765625,0.02015628188941365,True,True
5,conv3.0.0,58,-1043,12,10,0.10343006253242493,0.0017533828504383564,0.14825761318206787,0.001223225532717909,0.0009765625,0.2016496763028184,True,True
5,conv3.0.0,59,636,11,10,0.10343006253242493,0.0019074252340942621,0.14825761318206787,0.0013306912677463563,0.0009765625,0.2661239134349358,True,True
5,conv3.0.0,60,-59,7,10,0.10343006253242493,0.001585378311574459,0.14825761318206787,0.0011060192753968457,0.0009765625,0.11704748576863266,True,True
5,conv3.0.0,61,4408,14,11,0.10343006253242493,0.0008907932788133621,0.14825761318206787,0.0006214507474768508,0.00048828125,0.21428809606800156,True,True
5,conv3.0.0,62,2326,13,11,0.10343006253242493,0.0008501351694576442,0.14825761318206787,0.0005930861279281212,0.00048828125,0.17671105930979208,True,True
5,conv3.0.0,63,626,11,9,0.10343006253242493,0.0020450474694371223,0.14825761318206787,0.0014267016924513845,0.001953125,0.3689792409540817,True,True
